"X","Y","X1999.09.13_TPZ","X1999.09.13_NDVI","X2002.08.20_TPZ","X2002.08.20_NDVI","CLC06","CLC06_p_lato","odl_od_morza","InsCalk_1999.09","InsCalk_2002.08"
472920,5964330,20.516388,0.470199,20.005798,0.491803,411,5,14982.0195,48.86187,64.617729
473970,5965230,24.842316,0.328,28.538208,0.12,312,4,14946.1738,47.598824,63.504295
474210,5966610,26.928619,0.279279,29.283936,0.22449,112,2,14091.2207,48.451591,64.260681
472140,5966790,21.038147,0.492308,22.369965,0.441441,231,3,12572.04,48.3442,64.165825
472500,5967000,23.037872,0.432624,23.68689,0.405405,242,2,12646.2363,48.600159,64.387405
474180,5967780,29.788818,0.235294,27.802856,0.229358,211,3,13215.9785,48.310501,64.139992
458820,5967870,21.52063,0.373134,21.627563,0.415929,411,5,5992.34522,48.303917,64.130791
473970,5967900,27.480072,0.145038,27.267853,0.2,211,3,12983.1045,48.299492,64.128036
468570,5967930,21.83136,0.507246,24.753998,0.482143,231,3,9535.3291,49.045658,64.782822
473040,5967930,33.189758,-0.020134,31.824615,0.15873,211,3,12327.3359,49.604786,65.277084
470910,5968320,24.246155,0.36,24.436859,0.26,211,3,10609.1475,48.365028,64.135597
471540,5968350,25.193634,0.286822,27.190552,0.238095,243,3,11000.2275,52.064178,67.287186
472170,5968350,32.792755,-0.075862,32.840149,0.070866,211,3,11434.0938,48.933647,64.717957
466380,5968410,20.956024,0.53719,20.550079,0.465347,312,4,7973.00439,53.586979,68.467445
468660,5968440,20.619446,0.325301,20.878143,0.306667,312,4,9168.86621,46.942654,62.940056
472410,5968440,33.189758,-0.090909,32.840149,0.037594,211,3,11528.8252,49.539375,65.232338
473610,5968440,21.325348,0.460526,22.869873,0.5,231,3,12346.084,48.290775,64.120346
470250,5968530,30.392242,0.051852,29.266296,0.165049,211,3,10026.4648,48.920624,64.698021
453090,5968590,23.33252,0.42029,21.594543,0.412844,231,3,5962.08008,48.289997,64.11898
469590,5968620,25.981445,0.252336,26.158539,0.162791,211,3,9552.68066,47.448463,63.386116
471270,5968620,20.705658,0.411765,21.901459,0.362637,313,4,10618.8135,44.660049,60.882904
463470,5968710,19.93396,0.576642,19.108795,0.514019,311,4,6479.02783,53.457432,68.361267
468510,5968710,20.449432,0.341772,20.826569,0.333333,312,4,8862.39844,46.95937,62.956596
472080,5968950,28.934113,0.274074,28.751221,0.046512,211,3,10927.415,49.000183,64.76532
472530,5969100,27.121368,0.314685,26.597656,0.391304,211,3,11119.6855,48.135483,63.978561
474060,5969190,21.863739,0.410072,22.291077,0.441441,231,3,11999.7373,47.613968,63.5205
466080,5969220,21.805664,0.393258,21.091797,0.350649,312,4,7118.60254,47.46032,63.411423
472470,5969340,27.798218,0.228571,28.63147,0.196078,211,3,10904.9072,47.715904,63.610291
458640,5969370,19.232269,0.5625,20.843384,0.473684,411,5,4483.77051,48.278687,64.10997
462420,5969520,21.670868,0.543307,21.676575,0.489796,313,4,5341.76953,49.141727,64.409355
453540,5969550,23.431,0.323944,23.488495,0.321101,211,3,4905.80273,48.280418,64.112442
455640,5969730,23.567871,0.410959,21.339813,0.445378,411,5,4148.36133,48.275211,64.107361
472920,5969730,20.105255,0.533333,20.725616,0.5,412,5,10951.2734,48.280876,64.114349
464610,5969940,19.982544,0.5,19.040741,0.462366,311,4,5809.55225,43.101261,59.443226
456690,5969970,24.36499,0.419847,23.477661,0.410714,411,5,3782.9751,48.275925,64.109207
453690,5970000,19.303589,0.5,19.254425,0.450549,313,4,4431.58008,48.275867,64.109108
471570,5970090,33.189758,-0.044586,28.235046,0.122449,211,3,9740.76465,49.337883,65.053452
458250,5970210,19.63678,0.544304,19.520752,0.504,411,5,3594.62109,48.270157,64.103706
456120,5970240,24.737091,0.338583,24.631531,0.38,411,5,3564.82813,48.27322,64.107193
467100,5970270,20.108032,0.5625,19.619965,0.553398,313,4,6773.62549,48.395676,64.225861
467640,5970300,20.987671,0.425532,21.35907,0.351351,312,4,7068.04053,45.421032,61.570518
472260,5970330,21.880615,0.510204,24.737335,0.495798,231,3,10059.4434,47.751076,63.629299
456540,5970390,22.106903,0.354331,23.240936,0.433628,411,5,3373.36621,48.271656,64.106064
469080,5970600,22.648651,0.426471,22.98114,0.396226,231,3,7686.1499,47.869102,63.750496
462930,5970660,18.675323,0.508772,19.466919,0.484536,231,3,4471.61035,48.268543,64.103859
453300,5970750,21.608887,0.376344,22.672028,0.35,312,4,3855.43774,47.668068,63.572128
454590,5970750,20.295258,0.382979,21.70105,0.342105,312,4,3434.44312,48.263702,64.10083
455760,5970810,28.773895,-0.005464,32.332947,0.051852,211,3,3065.43628,48.583309,64.384262
455130,5970840,20.241791,0.384615,21.219055,0.358974,312,4,3194.40137,48.287312,64.121361
462690,5970960,21.247284,0.465649,20.610901,0.486239,231,3,4100.79248,48.265335,64.101463
454380,5971050,22.077423,0.376344,21.357117,0.358974,312,4,3216.16235,48.449482,64.267365
458400,5971080,21.184296,0.4,21.731018,0.474576,411,5,2759.51074,48.264515,64.100845
465030,5971200,20.230469,0.481481,19.181641,0.448276,313,4,4878.29883,49.784958,65.473755
457680,5971290,26.311035,0.186992,28.351593,0.244898,242,2,2460.73169,48.262421,64.099297
456930,5971380,21.637268,0.572327,21.101807,0.533333,211,3,2370,48.463295,64.277596
467280,5971380,20.295258,0.456522,20.641846,0.384615,312,4,5965.85303,47.322319,63.270981
461790,5971410,21.035309,0.471698,21.871704,0.473684,411,5,3349.94019,48.257729,64.094627
468600,5971410,20.23349,0.419355,21.123962,0.342466,313,4,6759.12695,48.291512,64.130127
470880,5971590,22.447205,0.48,23.320038,0.46087,231,3,8191.04395,48.549343,64.353439
454830,5971620,21.36731,0.406593,21.840424,0.350649,312,4,2533.0022,48.402504,64.227066
456240,5971620,20.568542,0.454545,21.099487,0.390244,312,4,2180.73389,48.268837,64.107841
457830,5971680,21.230865,0.328125,22.6763,0.372549,243,3,2080.625,48.261665,64.100029
457950,5971740,22.958191,0.434483,24.735443,0.388889,243,3,2036.90942,48.261047,64.099579
464490,5971740,20.051727,0.422222,19.386566,0.386667,312,4,4145.86523,44.419838,60.66127
473580,5971740,21.831848,0.47651,23.42276,0.433628,412,5,9464.51269,48.253918,64.09201
452070,5971770,27.959167,-0.107143,31.824615,-0.037975,123,1,3364.81787,49.089935,64.827095
453930,5971800,19.544586,0.48,19.809723,0.452381,312,4,2656.31323,48.267166,64.106575
458550,5971830,20.358826,0.404255,20.004242,0.390244,312,4,2041.98438,48.428314,64.24675
469020,5971920,18.799652,0.561404,19.041626,0.515152,313,4,6677.2749,48.738533,64.520065
464790,5971980,21.200806,0.454545,20.607544,0.421687,311,4,4082.31543,48.392193,64.213959
456570,5972010,21.639801,0.393258,21.70105,0.368421,312,4,1760.82373,47.96817,63.841923
468930,5972040,19.834381,0.417476,19.663483,0.39759,313,4,6527.67188,48.230782,64.070152
472770,5972040,22.422577,0.353846,23.092804,0.433962,412,5,8876.40137,48.254116,64.093422
453180,5972070,21.136444,0.340659,21.219055,0.342105,312,4,2686.1311,48.267696,64.108238
463140,5972070,20.729279,0.446809,20.641846,0.407407,311,4,3273.30103,44.000195,59.898106
463620,5972070,19.540161,0.553846,19.056702,0.510204,311,4,3461.45923,47.940491,63.863266
468810,5972160,20.742065,0.428571,20.259796,0.390244,313,4,6358.37256,47.557426,63.480038
465240,5972190,20.32782,0.559055,18.972778,0.535354,313,4,4143.91113,50.908329,66.421211
456990,5972220,28.773895,0.054945,31.824615,0.12,312,4,1530,48.165184,64.017815
473850,5972220,22.672729,0.490446,21.744171,0.391304,231,3,9150.78711,48.24902,64.088402
459270,5972250,19.307495,0.522124,18.60907,0.505376,313,4,1783.17139,48.260979,64.097458
461430,5972250,21.620636,0.426471,21.355072,0.44,411,5,2438.13452,48.285713,64.120674
463290,5972340,20.363678,0.55,19.366394,0.505155,311,4,3076.57275,51.741997,67.138397
458070,5972400,22.522644,0.356322,21.447876,0.36,312,4,1400.71411,48.260384,64.101173
471780,5972400,27.801056,0.175573,31.404572,0.188119,231,3,8196.64551,49.410088,65.110672
468030,5972610,26.236237,0.361702,25.583557,0.377358,231,3,5494.26074,48.267845,64.11116
472380,5972640,24.081055,0.276596,25.145813,0.321429,231,3,8178.34326,48.416214,64.238403
469080,5972700,19.557678,0.485149,19.702026,0.460674,311,4,6133.58789,48.531273,64.340302
471000,5972760,24.882538,0.411765,26.908539,0.365385,242,2,7488.29102,48.302032,64.140884
464010,5972850,21.196045,0.471698,21.13736,0.425287,311,4,2940.15308,49.416981,65.129761
472320,5972970,23.452484,0.406452,23.053558,0.40678,231,3,7848.14014,48.212082,64.058388
466830,5973000,20.794739,0.333333,19.607178,0.333333,312,4,4402.64697,44.283157,60.456612
453300,5973030,24.662048,0.2,26.679413,0.225,112,2,1749.28552,48.254669,64.097389
457620,5973030,21.895325,0.393258,21.309814,0.333333,312,4,720,48.731918,64.517868
461880,5973030,19.815796,0.465347,19.204956,0.431818,311,4,1879.49463,48.244564,64.08625
461220,5973060,20.411926,0.452632,19.809723,0.443038,312,4,1604.64954,48.24741,64.089622
454620,5973150,20.716339,0.377778,22.418335,0.36,312,4,1158.0155,48.417107,64.241997
458430,5973240,20.647003,0.41573,20.152679,0.376623,312,4,636.396118,48.252186,64.095657
461610,5973300,20.388824,0.413043,20.115326,0.384615,312,4,1527.64526,48.244934,64.087814
469410,5973300,20.568542,0.391304,21.091797,0.350649,312,4,5951.95752,48.425892,64.206436
464850,5973330,20.767517,0.428571,19.742523,0.410256,313,4,2978.92603,48.745251,64.377327
475590,5973360,29.584869,0.092105,25.421631,0.26087,211,3,8968.19336,46.822685,62.820412
468300,5973390,20.377991,0.418605,20.641846,0.342466,312,4,5097.52881,48.265598,64.10817
452160,5973450,26.47171,-0.04918,29.266296,-0.038961,123,1,1786.19702,47.506878,63.431694
456240,5973480,20.422028,0.386364,20.777863,0.315068,312,4,360,48.253117,64.09758
470460,5973480,20.182983,0.438202,21.091797,0.350649,312,4,6598.97705,48.252426,64.097298
468900,5973510,21.189484,0.425532,21.840424,0.36,312,4,5433.23096,48.265118,64.11174
456630,5973660,25.46756,0.346939,25.380554,0.298701,312,4,120,47.445038,63.378872
457110,5973660,24.662048,0.28,26.843628,0.298701,312,4,90,46.780277,62.782944
472260,5973720,27.548065,0.25,28.875916,0.283019,231,3,7125.23682,48.257919,64.100967
457830,5973750,26.730011,0.006061,27.717682,0.075472,331,4,30,46.17836,62.237022
462630,5973780,20.008545,0.541667,19.955292,0.530435,311,4,1493.08411,48.245155,64.091515
463650,5973780,19.974121,0.552,20.47821,0.524752,313,4,1955.76074,49.217999,64.787094
473730,5973840,24.406097,0.296296,29.780212,0.079646,211,3,7660.81592,48.277199,64.11982
460950,5973930,19.668945,0.531532,19.643555,0.466667,313,4,697.782227,48.241783,64.086777
460950,5973960,19.769623,0.522124,19.724396,0.472527,313,4,1570.35022,48.241478,64.086548
463920,5973960,20.064728,0.395349,19.663483,0.388889,312,4,1939.12353,47.393463,63.287155
461460,5973990,21.6203,0.52459,19.584381,0.510638,312,4,831.925476,48.241142,64.086311
477510,5974080,22.660248,0.412587,24.998199,0.333333,231,3,8996.39941,47.216103,63.17012
477510,5974170,30.392242,0.253968,29.982361,0.326923,231,3,8911.81836,46.10976,62.170803
476970,5974230,29.584869,-0.028986,30.561432,0.2,211,3,8680.58203,47.889786,63.775627
474600,5974290,26.524536,0.072165,28.751221,0,211,3,7672.78955,48.301826,64.14151
461280,5974320,20.999054,0.482143,22.42218,0.402299,313,4,456.946381,48.241024,64.087509
468150,5974320,20.952576,0.438202,22.273254,0.333333,312,4,4332.68945,48.287811,64.13662
470790,5974440,20.304382,0.472727,21.402771,0.413043,312,4,5941.21191,47.842007,63.734222
475080,5974440,23.845001,0.229508,26.324951,0.211538,211,3,7779.20313,47.516502,63.444023
477870,5974560,23.778687,0.515152,25.335175,0.444444,211,3,8673.94336,49.183285,64.919479
461640,5974620,21.682404,0.486239,21.898468,0.452381,312,4,335.410187,48.237946,64.085251
465870,5974620,20.097504,0.425532,20.023956,0.428571,312,4,2546.99829,47.801979,63.586502
468090,5974620,20.716339,0.422222,22.369843,0.36,312,4,4090.79443,47.416866,63.366302
477570,5974620,23.648346,0.416667,25.345062,0.412844,211,3,8512.02051,47.566463,63.491825
471480,5974650,21.863739,0.442857,22.457855,0.415929,231,3,5977.53272,48.230774,64.07756
476370,5974650,25.658142,0.328467,25.968109,0.219048,243,3,8092.27393,48.691429,64.485275
478170,5974650,21.936554,0.468531,22.48053,0.4,231,3,8697.41309,48.367821,64.185165
461160,5974680,22.569183,0.401869,23.250397,0.380952,313,4,84.852814,48.019737,63.89299
469740,5974740,20.377991,0.395349,20.601166,0.342105,312,4,5218.44824,48.246201,64.095291
463200,5974770,26.288849,0.353383,27.994232,0.372549,142,2,872.066528,48.199539,64.053497
466470,5974770,20.238007,0.576642,20.055786,0.551402,311,4,2853.94458,51.628479,67.023666
463380,5974800,24.163635,0.409836,26.249878,0.387755,142,2,941.54126,47.990387,63.869488
464640,5974800,21.300751,0.349398,21.091797,0.352113,312,4,1667.09326,46.519295,62.577377
469920,5974890,21.941559,0.477124,22.801605,0.491525,231,3,5243.13818,48.379608,64.210403
471300,5974890,21.511047,0.402985,21.957275,0.428571,231,3,5688.38281,48.228329,64.07576
