X,Y,1999-09-13_TPZ,1999-09-13_NDVI,2002-08-20_TPZ,2002-08-20_NDVI,CLC06,CLC06_p_lato,odl_od_morza,InsCalk_1999-09,InsCalk_2002-08
472470,5963790,22.038666,0.469388,21.760925,0.478992,411,5,15160.541,48.906155,64.656487
474210,5966040,21.961243,0.267327,24.554718,0.146667,211,3,14512.0635,49.377964,65.07811
473820,5966130,22.773865,0.508197,24.62793,0.425743,211,3,14178.1025,48.333611,64.159119
474180,5966190,26.908966,0.348485,29.598511,0.295238,211,3,14383.5527,48.320984,64.150818
474840,5966190,25.426544,0.451852,27.394958,0.415094,112,2,14824.3721,49.014992,64.749794
473460,5966220,25.45813,0.524862,32.55957,0.315315,211,3,13867.8223,49.269829,64.976646
472470,5967030,26.234589,0.343284,25.505615,0.320388,242,2,12603.8926,48.894341,64.649765
474360,5967180,27.681915,0.343066,27.199127,0.176471,211,3,13772.0918,49.017948,64.759979
472680,5967360,21.247284,0.50365,22.028137,0.409524,231,4,12501.0762,48.301796,64.128418
471540,5967390,26.239502,0.308824,29.002441,0.233645,211,3,11727.3906,49.865448,65.507263
473100,5967390,23.221405,0.460993,23.750854,0.396552,231,4,12770.6299,48.301479,64.128189
471900,5967450,25.279755,0.213793,30.957642,0.165049,211,3,11912.7578,46.86388,62.85017
473970,5967600,24.861877,0.350877,29.679382,0.221053,211,3,13198.9775,47.683929,63.578411
470460,5967660,22.057159,0.163934,20.46579,0.333333,243,2,10842.002,48.812061,64.57782
474450,5967720,31.922363,0.176471,26.467621,0.148936,211,3,13449.1709,47.734688,63.629032
470940,5967810,28.548126,0.100671,29.780212,0.170213,211,3,11020.458,50.571461,66.121468
473520,5967810,21.816467,0.395973,22.721771,0.445378,231,4,12738.1006,48.296532,64.123825
473280,5967990,26.754852,0.21547,41.301758,-0.008547,211,3,12443.167,48.983654,64.731422
469860,5968020,20.924622,0.425743,21.225464,0.333333,312,5,10197.2646,53.014599,68.150963
472620,5968080,34.375671,-0.051948,33.851318,0.083969,211,3,11938.7939,47.372112,63.298836
473340,5968110,26.933868,0.206897,39.829926,-0.033333,211,3,12395.7734,48.808289,64.57576
472770,5968140,32.792755,-0.058824,31.315216,0.131148,211,3,11991.3721,47.631187,63.542343
473400,5968170,25.034485,0.285714,35.86084,0.195652,211,3,12393.1592,47.716187,63.604271
468120,5968200,23.104218,0.360825,22.564697,0.341772,312,5,9061.04297,51.415508,66.786583
470700,5968380,29.313782,0.209302,29.780212,0.106383,211,3,10429.0459,49.797291,65.459747
471930,5968590,23.430206,0.486726,23.638153,0.42,211,3,11094.6875,47.948223,63.852993
469410,5968620,25.823975,0.253968,29.266296,0.045872,211,3,9447.52344,47.329712,63.28157
471870,5968650,27.871826,0.154472,26.158539,0.06383,211,3,11009.8369,46.981312,62.980034
469560,5968800,27.561249,0.272727,29.780212,0.048544,211,3,9390.04785,48.126713,63.974087
474450,5968860,29.989014,0.025974,26.679413,0.12,211,3,12452.3135,47.760315,63.651524
466560,5968920,21.17746,0.409091,21.130951,0.333333,312,5,7617.04688,48.706886,64.521133
463830,5968980,19.77356,0.577465,18.920929,0.504951,311,5,6374.20605,54.150669,68.940231
458280,5969070,21.006409,0.405797,22.586945,0.396226,411,5,4726.30957,48.281769,64.112221
473490,5969100,25.437256,0.304348,23.16449,0.515625,231,4,11798.2793,48.037327,63.896061
474780,5969220,28.367004,0.050847,24.525757,0.212121,211,3,12255.3584,48.282505,64.113846
472410,5969280,31.194031,0.162162,32.21817,0.12,211,3,10906.5576,47.406578,63.332531
470550,5969460,20.607666,0.419355,21.091797,0.358025,313,5,9512.98047,47.911991,63.783997
471900,5969490,27.646576,0.219512,27.199127,0.113208,211,3,10404.9414,46.395386,62.446892
472110,5969490,29.584869,-0.010989,27.717682,0.140187,211,3,10547.7627,47.608757,63.526314
464430,5969610,19.839233,0.533333,19.022369,0.489796,311,5,6034.84863,47.781601,63.603485
474840,5969610,29.17984,0.018634,26.333588,0.153846,211,3,11928.2734,48.318405,64.146599
467760,5969700,22.156677,0.302326,22.082092,0.382716,312,5,7620.53125,47.991383,63.869011
453210,5969880,22.294037,0.541401,21.582428,0.508197,231,4,4705.50732,48.277084,64.109985
454800,5969880,21.17041,0.302326,22.6763,0.300971,231,4,4205.56787,48.27697,64.109924
473250,5969880,22.194672,0.449275,23.465576,0.486726,231,4,11064.4697,48.276115,64.109573
464190,5969910,24.191437,0.263158,24.415344,0.240506,211,3,5665.6333,45.437965,61.577114
472530,5969910,26.423431,0.087248,23.833099,0.309091,211,3,10544.6904,47.5513,63.465912
464820,5969940,20.65094,0.5625,19.702026,0.509804,311,5,5903.21924,44.968868,61.105682
469200,5969940,25.40506,0.408696,25.916962,0.38,242,2,8270.10254,47.269539,63.21336
470490,5970000,23.748413,0.312,24.153137,0.405405,231,4,9079.64746,47.536289,63.450012
468450,5970090,20.753723,0.479167,21.627563,0.341463,313,5,7693.34766,46.978832,62.953442
458040,5970120,18.66803,0.406897,18.151764,0.417476,411,5,3654.2168,48.271076,64.10437
468030,5970120,21.292542,0.362637,21.748596,0.315789,312,5,7430.37695,46.520741,62.540215
470460,5970120,28.367004,0.063492,26.679413,0.153846,211,3,8973.20996,48.654507,64.441032
471330,5970180,32.394836,0,26.730621,0.178947,211,3,9511.18262,45.522358,61.656647
472320,5970180,25.060272,0.314685,25.240417,0.233645,211,3,10206.2188,48.02985,63.894108
470580,5970210,27.433746,0.227273,26.679413,0.309091,211,3,8991.44629,48.994709,64.742249
