X,Y,2000-04-08_TPZ,2000-04-08_NDVI,2001-05-13_TPZ,2001-05-13_NDVI,CLC06,CLC06_wiosna,odl_od_morza,InsCalk_2000-04,InsCalk_2001-05
472590,5962980,15.082031,0.149606,24.478333,0.134328,411,5,15896.0938,51.894573,73.31665
472470,5963400,15.467712,0.147287,24.0224,0.149254,411,5,15484.6797,51.947231,73.354126
473310,5965440,21.012177,0.289474,30.518921,0.280576,211,3,14358.0635,52.570747,73.836288
474000,5965470,19.265625,-0.026667,27.025085,0.236111,211,3,14786.3789,51.889153,73.320984
474420,5965890,19.265625,0.053571,29.866364,-0.02439,112,2,14765.9131,51.876877,73.309105
474270,5966100,20.384979,0.081967,32.445404,0.165354,112,2,14510.8232,52.591759,73.862671
473940,5966820,17.54718,0.282443,22.878326,0.175439,112,2,13755.2207,51.354179,72.912552
472290,5967510,18.111572,0.272727,27.675354,0.162162,242,2,12126.2734,52.530247,73.809288
473820,5967720,18.901489,0.146497,23.933502,0.236111,211,3,13008.6934,51.848591,73.289589
473970,5967960,14.216064,0.246914,19.896301,0.347826,211,3,12940.332,51.849804,73.2929
467190,5968440,10.038788,0.368421,19.322632,0.166667,312,4,8350.83789,54.77232,75.39006
453390,5968500,18.137207,0.150327,28.97876,0.134752,231,3,5948.25195,51.846664,73.291245
457980,5968500,13.918427,0.076923,24.933167,-0.019231,411,5,5262.32861,52.335098,73.657387
466500,5968560,10.55368,0.346939,19.979462,0.2,312,4,7899.80371,56.302544,76.514771
473280,5968560,18.779907,0.22973,26.921417,0.265306,231,3,12028.8027,51.74374,73.209785
459120,5968680,15.467712,0.129032,24.478333,0.024,411,5,5243.13818,51.837589,73.282036
459510,5968710,13.52832,0.041667,23.107269,-0.037037,411,5,5289.28174,51.837257,73.281837
469560,5968800,17.077576,0.397436,32.505463,-0.068182,211,3,9390.04785,51.688286,73.169365
463590,5969160,13.918427,0.159664,20.278259,0.402985,311,4,6110.35986,54.734711,75.258629
462720,5969310,19.04895,0.179856,31.176331,0.215385,211,3,5643.3501,48.039825,70.251266
459330,5969430,13.52832,0.074074,22.187683,0,411,5,4548.24121,51.531776,73.048523
465570,5969430,11.742126,0.301887,25.674957,0.06422,312,4,6694.84131,52.637459,73.946648
474840,5969430,15.801788,0.374233,27.191162,0.102564,211,3,12090.5957,51.832169,73.280777
465300,5969460,9.919769,0.288889,19.114868,0.258427,312,4,6547.2207,51.986504,73.460823
453990,5969490,15.082031,0.051546,24.933167,-0.06383,231,3,4819.46045,51.833706,73.281815
462720,5969490,17.121735,0.219178,24.686096,0.343284,211,3,5476.29443,51.87056,73.052956
469110,5969640,18.712555,0.260504,29.203003,0.213115,242,2,8448.76953,50.612244,72.345711
465990,5969730,9.130005,0.325843,20.825073,0.190476,312,4,6631.90039,50.525253,72.316071
474900,5969790,18.457611,0.197279,26.291168,0.108108,231,3,11793.0527,51.825348,73.274879
467010,5970030,11.005646,0.333333,20.895782,0.219512,312,4,6922.65869,52.824692,74.062164
474510,5970150,16.618195,0.070064,25.839569,-0.074074,231,3,11298.6553,51.821915,73.272903
474570,5970300,16.618195,0.1,25.386902,0.078014,231,3,11189.6787,51.820457,73.272072
470760,5970360,16.752411,0.440476,26.101624,0.346667,211,3,8997.25,52.404022,73.717209
469200,5970510,18.133545,0.215385,23.141876,0.261538,231,3,7832.35596,51.825562,73.278992
468210,5970540,10.45105,0.310345,20.799713,0.153846,312,4,7188.30322,50.441879,72.216583
467340,5970660,9.407806,0.280899,21.263489,0.156627,312,4,6600,50.050835,71.913216
466740,5970750,11.296112,0.252174,23.349304,0.165049,311,4,6174.17188,51.280388,72.892403
457260,5970780,12.744598,-0.009901,20.328888,-0.104167,411,5,2970,51.272533,72.850693
465090,5970780,10.930725,0.303371,20.626495,0.218391,312,4,5274.71338,51.634979,73.193016
456960,5970870,19.265625,-0.006452,32.505463,-0.132075,242,2,2880,52.209789,73.565559
453180,5970960,13.295807,0.28,24.0224,0.162791,312,4,3707.03394,51.809357,73.263908
469920,5971080,11.314941,0.209877,23.74411,0.08642,313,4,7902.7085,51.82666,73.283585
470520,5971170,9.964569,0.291139,20.799713,0.168831,313,4,8234.6582,51.82515,73.282463
472080,5971170,18.657867,0.246575,27.639648,0.118881,231,3,9361.9707,52.244736,73.595978
470910,5971290,18.564575,0.253165,26.583405,0.243243,231,3,8421.66894,51.817871,73.274567
455400,5971410,11.03537,0.34,24.263428,0.172414,312,4,2571.08936,51.825035,73.282761
457680,5971410,19.272095,0.095652,28.533386,-0.038462,242,2,2340.76904,52.52771,73.810631
466260,5971410,14.937561,0.142857,19.997559,0.301887,311,4,5358.50732,51.316727,72.926628
474420,5971440,14.871368,0.435115,20.897308,0.333333,231,3,10106.4834,51.764435,73.232422
452910,5971530,20.384979,0.12381,34.245575,0.009709,123,1,3286.88306,51.81749,73.274467
470820,5971590,17.128815,0.3,24.861206,0.352113,231,3,8147.6377,51.811653,73.26902
468960,5971650,14.307434,0.12381,24.641724,0.252336,313,4,6830.65137,52.224804,73.580673
473460,5971650,15.599335,0.289855,23.178772,0.258741,231,3,9497.68945,51.842285,73.292557
472500,5971740,20.625732,0.223022,24.585968,0.226891,311,4,9059.20508,51.809425,73.267136
457650,5971770,20.539764,0.257143,34.245575,0.140496,242,2,1980.22729,51.817924,73.276672
464700,5971770,10.555664,0.277108,19.868652,0.179487,312,4,4219.66846,45.75621,68.396713
462960,5971800,13.137054,0.092784,23.107269,-0.032258,311,4,3448.04297,50.852802,72.323303
462180,5971950,13.137054,0.032258,23.565369,-0.142857,411,5,2991.73853,51.809021,73.267563
464850,5971950,12.759552,0.296703,22.64801,0.13253,311,4,4137.82568,51.820419,73.326973
462210,5971980,12.744598,0.046729,23.565369,-0.1,411,5,2974.84448,51.808727,73.26741
463260,5971980,12.159576,0.227273,19.271576,0.291667,311,4,3398.88208,51.219887,72.586082
451500,5972070,7.53476,-0.288889,12.019745,-0.372549,511,6,3314.28735,51.805775,73.263786
465870,5972100,9.871155,0.318182,19.401367,0.15,312,4,4568.87305,51.607994,73.132202
458520,5972130,11.342102,0.303371,22.413666,0.204545,312,4,1741.55103,51.81102,73.270729
456930,5972250,22.597382,0.070707,40.640533,-0.116279,122,1,1500,51.596622,73.109192
460650,5972280,13.137054,0.12766,22.64801,0.0625,311,4,2153.53198,51.853466,73.302116
454080,5972310,12.596252,0.302326,22.64801,0.153846,312,4,2125.13525,51.816475,73.277847
456630,5972370,18.514343,0.130435,32.505463,-0.090909,122,1,1395.88684,51.841232,73.296921
476130,5972520,17.335571,0.30137,21.299835,0.410959,222,3,9966.00684,52.469543,73.768753
468600,5972610,20.746704,0.186207,32.093079,0.186667,231,3,5882.5249,51.818676,73.282974
453840,5972640,19.265625,0.037037,34.245575,-0.177419,122,1,1905.17712,51.815617,73.278824
460500,5972640,13.52832,0.145455,22.64801,0.148515,311,4,1764.65295,51.80587,73.267754
460110,5972670,13.52832,0.196078,23.755646,0.178947,311,4,1612.7616,51.802292,73.26371
472380,5972670,19.673309,0.1125,27.738922,0.16,231,3,8150.39893,52.519623,73.809494
476490,5972700,15.082031,0.067797,23.107269,-0.058824,231,3,9946.48144,52.455284,73.756813
454320,5972730,11.103821,0.356322,22.64801,0.121951,312,4,1650.81799,51.647873,73.150719
469680,5972730,19.506165,0.296552,30.875763,0.213793,231,3,6535.87012,51.807415,73.270546
473580,5972730,16.922516,0.126984,23.107269,0.135593,231,3,8573.75684,51.800407,73.262527
471090,5972790,21.431244,0.213675,32.496735,0.150442,242,2,7531.43408,52.387093,73.710464
458310,5972850,10.670593,0.318182,20.799713,0.135802,312,4,997.246216,51.810753,73.274536
467130,5972850,11.819702,0.285714,22.249237,0.195122,312,4,4709.23584,52.73859,74.00309
470670,5972850,20.730896,0.377483,30.013977,0.338235,242,2,7191.24463,51.809502,73.273727
475680,5972850,14.083282,0.437909,18.362793,0.409091,211,3,9455.52246,51.825825,73.292969
472860,5972880,17.759003,0.15,28.436646,0.192053,231,3,8130.49805,51.799023,73.261742
475080,5972880,14.090607,0.440994,18.089661,0.460317,211,3,9139.41992,51.609993,73.118469
475350,5972910,13.496246,0.512821,18.936157,0.21875,211,3,9243.11621,51.921185,73.35144
461310,5972940,13.918427,0.142857,24.0224,0.192308,311,4,1749.28552,51.802887,73.266022
473970,5972970,14.307434,0.04698,24.0224,0,231,3,8546.26269,51.821529,73.279114
459750,5973030,11.077423,0.213483,19.868652,0.162791,313,4,1158.0155,51.802185,73.265648
453570,5973240,14.526642,0.07563,25.839569,-0.059829,312,4,1453.99451,51.807549,73.27272
456660,5973240,10.145386,0.307692,20.334778,0.108108,312,4,540,46.307091,68.844604
459720,5973240,15.467712,0.172414,25.415955,0.188679,313,4,948.683289,51.800163,73.264481
460950,5973270,13.31665,0.173913,22.187683,0.05618,312,4,1318.97693,51.799736,73.264221
470700,5973330,10.892059,0.326087,22.64801,0.180723,312,4,6876.35059,51.948307,73.380585
471960,5973420,21.345398,0.194245,30.308716,0.164179,242,2,7297.83545,51.800545,73.266579
462330,5973480,16.866608,0.177419,24.839478,0.203252,311,4,1660.87329,51.873039,73.320633
476400,5973480,18.890503,0.04,27.066681,0.234043,231,3,9196.3584,51.793419,73.258522
454200,5973570,12.407379,0.310345,22.64801,0.135802,312,4,910.933594,50.599937,72.34063
458430,5973570,16.797272,0.07438,27.639648,0.009346,242,2,313.209198,52.490532,73.805435
457860,5973600,11.134674,0.372093,20.334778,0.139241,312,4,182.48288,52.316261,73.66153
