X,Y,2000-04-08_TPZ,2000-04-08_NDVI,2001-05-13_TPZ,2001-05-13_NDVI,CLC06,CLC06_wiosna,odl_od_morza,InsCalk_2000-04,InsCalk_2001-05
472470,5963940,15.082031,0.068966,25.386902,0.022556,411,5,15036.7051,51.891983,73.31913
473700,5964570,14.102753,0.284211,22.714355,0.186813,312,4,15276.1289,56.072521,76.35376
472860,5965110,16.235779,0.051282,23.456696,0.165468,411,5,14327.4736,51.868076,73.297997
474300,5965260,20.097351,0.155172,31.6297,0.03125,112,2,15143.2266,51.887878,73.319756
474150,5965530,20.756134,0.039474,30.308716,-0.007874,112,2,14842.6045,52.205101,73.559326
472500,5966340,15.217224,0.271186,22.132324,0.366667,231,3,13148.251,51.758854,73.2202
472770,5966460,16.051605,0.363057,19.076202,0.516779,211,3,13230.6465,51.42728,72.965782
474690,5966610,16.999481,0.111111,25.386902,-0.006711,112,2,14413.5244,51.490517,73.012978
473760,5966880,18.137207,0.103448,25.151825,0.338583,112,2,13591.8545,51.856117,73.294319
473640,5967030,15.733063,0.289855,28.97876,0,211,3,13399.8955,51.858883,73.29808
471930,5967060,18.62854,0.228758,25.459198,0.239437,211,3,12230.1436,52.78672,73.956589
472500,5967180,17.615845,0.213115,25.788544,0.176471,242,2,12511.8701,51.733791,73.204056
474240,5967210,20.384979,0.103896,31.190308,0.076923,211,3,13667.8896,51.917641,73.34874
472530,5967450,19.63974,0.129771,30.750061,0.092308,242,2,12332.9189,51.917595,73.339233
472530,5967510,19.896729,0.034483,30.308716,-0.128205,242,2,12289.0557,52.319115,73.648407
471990,5967540,19.234344,0.301775,30.326752,0.227848,242,2,11903.915,51.6185,73.11335
473970,5967750,16.440582,0.356164,19.503418,0.419847,211,3,13090.626,51.85178,73.294037
472620,5967900,18.593079,0.179104,28.235138,0.234375,243,3,12070.4805,54.747017,75.44622
458400,5967960,17.42337,0.131783,26.291168,-0.015385,411,5,5842.30273,51.831104,73.271851
459150,5968290,13.918427,0.038462,23.565369,0.055556,411,5,5632.41504,51.85408,73.293915
474690,5968440,15.184052,0.2,19.868652,0.086614,231,3,12932.5059,51.827854,73.264221
