"","X1999.09.13_NDVI","X2002.08.20_NDVI","CLC06","CLC06_p_lato","odl_od_morza","InsCalk_1999.09","InsCalk_2002.08","s1","s2"
"221",0.507937,0.469388,311,4,2045.50732,48.105934,63.983887,484170,5986230
"222",0.486726,0.450549,311,4,2193.28516,48.106552,63.983223,484320,5986230
"223",0.481481,0.431818,311,4,2313.11475,48.105324,63.98299,484470,5986230
"224",0.509091,0.434783,311,4,2431.66602,48.106548,63.983902,484620,5986230
"445",0.5,0.438202,311,4,1950,48.108082,63.985016,484020,5986080
"446",0.392157,0.469388,311,4,2070,48.10778,63.985016,484170,5986080
"447",0.513043,0.479167,311,4,2190,48.107162,63.98457,484320,5986080
"448",0.5,0.468085,311,4,2400.1875,48.107468,63.984344,484470,5986080
"449",0.5,0.450549,311,4,2550.17651,48.107162,63.985023,484620,5986080
"450",0.388889,0.348315,311,4,2580,48.107468,63.984802,484770,5986080
"657",0.306122,0.240506,313,4,108.166542,47.61116,64.395538,482070,5985930
"658",-0.147541,-0.208333,313,4,150,46.868912,63.206993,482220,5985930
"669",0.531532,0.450549,311,4,1808.97766,48.109619,63.986137,483870,5985930
"670",0.513514,0.460674,311,4,1866.03857,48.109619,63.985916,484020,5985930
"671",0.529412,0.462366,311,4,1985.67371,48.109001,63.985466,484170,5985930
"672",0.526316,0.422222,311,4,2190.82178,48.109005,63.986137,484320,5985930
"673",0.5,0.479167,311,4,2314.86499,48.109001,63.98547,484470,5985930
"674",0.47541,0.446809,311,4,2491.62598,48.108696,63.985245,484620,5985930
"675",0.5,0.471698,311,4,2586.27148,48.109615,63.985245,484770,5985930
"880",0.363636,0.272727,313,4,42.426407,50.027122,65.664459,481770,5985780
"881",0.369565,0.263158,313,4,84.852814,50.15881,65.090714,481920,5985780
"882",0.377778,0.289474,313,4,150,49.505398,65.572517,482070,5985780
"883",0.431579,0.289474,313,4,283.01944,48.111153,63.987263,482220,5985780
"884",-0.132075,-0.166667,313,4,349.857117,48.111153,63.987251,482370,5985780
"885",-0.16,-0.125,511,6,466.690491,48.111153,63.987255,482520,5985780
"893",-0.06087,0.204301,242,2,1682.67639,48.111145,63.987263,483720,5985780
"894",0.111111,0.061224,242,2,1765.67273,48.11084,63.987267,483870,5985780
"895",0.473684,0.386139,242,2,1943.29614,48.109924,63.987267,484020,5985780
"896",0.446809,0.452632,242,2,2028.05322,48.109924,63.98727,484170,5985780
"897",0.508772,0.479167,311,4,2185.06299,48.110229,63.986374,484320,5985780
"898",0.5,0.458333,311,4,2325.72559,48.110229,63.986603,484470,5985780
"899",0.260274,0.358491,242,2,2534.4231,48.11084,63.987274,484620,5985780
"900",0.347826,0.27619,242,2,2591.13867,48.111145,63.987274,484770,5985780
"1103",0.189655,0.214286,313,4,42.426407,49.387394,65.113091,481470,5985630
"1104",0.347826,0.260274,313,4,67.082039,46.983238,64.006691,481620,5985630
"1105",0.363636,0.375,313,4,108.166542,49.101368,65.000336,481770,5985630
"1106",0.066667,-0.162791,512,6,150,48.112377,63.988373,481920,5985630
"1107",-0.2,-0.162791,512,6,276.586334,48.112373,63.988373,482070,5985630
"1108",0.405405,0.362637,512,6,361.247833,48.111763,63.987705,482220,5985630
"1109",0.373737,0.450549,313,4,492.036591,48.111763,63.988152,482370,5985630
"1110",0.445545,0.39759,313,4,615.548523,48.112682,63.98838,482520,5985630
"1111",0.461538,0.438202,313,4,642.028015,48.112682,63.98838,482670,5985630
"1112",0.416667,0.298701,313,4,798.811646,48.112068,63.98838,482820,5985630
"1113",0.454545,0.380952,313,4,967.470947,48.112373,63.988384,482970,5985630
"1114",0.169231,0.247312,242,2,1033.15051,48.112068,63.987938,483120,5985630
"1115",0.243243,0.16129,242,2,1243.10095,48.112373,63.988388,483270,5985630
"1116",0.454545,0.264151,242,2,1366.23572,48.112679,63.988388,483420,5985630
"1117",0.213675,0.182796,242,2,1549.87097,48.112373,63.987717,483570,5985630
"1118",0.333333,0.241379,242,2,1637.13159,48.112682,63.987942,483720,5985630
"1119",0.333333,0.227723,242,2,1776.8512,48.111454,63.987488,483870,5985630
"1120",0.355705,0.377358,242,2,1894.51843,48.112068,63.988167,484020,5985630
"1121",0.464789,0.352941,242,2,2047.48621,48.111458,63.988167,484170,5985630
